Date,Region,Customer ID,Satisfaction Score,Feedback Length,Issue Resolved
1/31/22,North,CUST1000,67,35,Yes
2/28/22,East,CUST1001,74,441,No
3/31/22,North,CUST1002,81,127,Yes
4/30/22,West,CUST1003,,429,Yes
5/31/22,West,CUST1004,68,43,No
6/30/22,South,CUST1005,62,228,Yes
7/31/22,North,CUST1006,60,204,Yes
8/31/22,North,CUST1007,77,78,Yes
9/30/22,East,CUST1008,69,406,Yes
10/31/22,South,CUST1009,86,154,Yes
11/30/22,North,CUST1010,86,242,Yes
12/31/22,North,CUST1011,65,38,No
1/31/23,South,CUST1012,66,101,Yes
2/28/23,North,CUST1013,93,,Yes
3/31/23,East,CUST1014,83,163,Yes
4/30/23,East,CUST1015,70,376,No
5/31/23,East,CUST1016,79,431,Yes
6/30/23,South,CUST1017,79,184,No
7/31/23,West,CUST1018,61,348,Yes
8/31/23,West,CUST1019,61,184,No
9/30/23,North,CUST1020,86,404,No
10/31/23,North,CUST1021,65,388,No
11/30/23,North,CUST1022,69,413,Yes
12/31/23,West,CUST1023,80,335,No
1/31/24,West,CUST1024,66,133,No
2/29/24,South,CUST1025,83,158,No
3/31/24,West,CUST1026,96,134,No
4/30/24,West,CUST1027,69,492,Yes
5/31/24,North,CUST1028,93,383,No
6/30/24,North,CUST1029,70,230,No
7/31/24,South,CUST1030,61,201,Yes
8/31/24,East,CUST1031,62,191,Yes
9/30/24,East,CUST1032,96,194,No
10/31/24,North,CUST1033,93,74,No
11/30/24,East,CUST1034,80,50,Yes
12/31/24,West,CUST1035,89,29,No
1/31/25,South,CUST1036,93,406,No
2/28/25,East,CUST1037,64,341,No
3/31/25,South,CUST1038,95,213,Yes
4/30/25,East,CUST1039,69,375,No
5/31/25,East,CUST1040,82,,No
6/30/25,East,CUST1041,93,417,No
7/31/25,South,CUST1042,93,274,Yes
8/31/25,South,CUST1043,65,145,Yes
9/30/25,East,CUST1044,80,300,Yes
10/31/25,East,CUST1045,67,452,No
11/30/25,West,CUST1046,81,296,No
12/31/25,East,CUST1047,85,183,No
1/31/26,North,CUST1048,63,358,No
2/28/26,South,CUST1049,69,426,No
3/31/26,South,CUST1050,60,201,No
4/30/26,North,CUST1051,98,160,No
5/31/26,North,CUST1052,89,366,Yes
6/30/26,South,CUST1053,80,150,Yes
7/31/26,East,CUST1054,67,181,Yes
8/31/26,North,CUST1055,100,94,Yes
9/30/26,North,CUST1056,89,147,No
10/31/26,South,CUST1057,93,22,Yes
11/30/26,South,CUST1058,72,305,Yes
12/31/26,West,CUST1059,71,28,No
1/31/27,East,CUST1060,74,418,Yes
2/28/27,North,CUST1061,96,214,No
3/31/27,East,CUST1062,90,72,Yes
4/30/27,North,CUST1063,88,463,Yes
5/31/27,West,CUST1064,97,364,No
6/30/27,South,CUST1065,93,81,Yes
7/31/27,West,CUST1066,75,479,Yes
8/31/27,East,CUST1067,76,353,Yes
9/30/27,West,CUST1068,90,39,Yes
10/31/27,West,CUST1069,75,368,Yes
11/30/27,West,CUST1070,87,437,No
12/31/27,West,CUST1071,73,246,No
1/31/28,West,CUST1072,84,279,No
2/29/28,North,CUST1073,,237,No
3/31/28,West,CUST1074,81,444,Yes
4/30/28,South,CUST1075,61,444,No
5/31/28,South,CUST1076,66,79,No
6/30/28,East,CUST1077,68,342,Yes
7/31/28,West,CUST1078,90,472,Yes
8/31/28,South,CUST1079,78,93,No
9/30/28,West,CUST1080,91,340,Yes
10/31/28,North,CUST1081,60,278,Yes
11/30/28,North,CUST1082,70,215,Yes
12/31/28,South,CUST1083,95,241,No
1/31/29,West,CUST1084,71,211,Yes
2/28/29,East,CUST1085,80,294,Yes
3/31/29,East,CUST1086,63,,No
4/30/29,South,CUST1087,98,500,No
5/31/29,East,CUST1088,69,155,Yes
6/30/29,South,CUST1089,71,292,Yes
7/31/29,East,CUST1090,68,339,No
8/31/29,South,CUST1091,66,105,Yes
9/30/29,South,CUST1092,73,243,No
10/31/29,South,CUST1093,62,345,No
11/30/29,South,CUST1094,86,99,Yes
12/31/29,East,CUST1095,69,181,No
1/31/30,West,CUST1096,82,97,No
2/28/30,West,CUST1097,61,367,Yes
3/31/30,West,CUST1098,88,470,No
4/30/30,North,CUST1099,65,424,Yes
5/31/30,West,CUST1100,61,210,No
6/30/30,East,CUST1101,71,54,No
7/31/30,East,CUST1102,98,372,No
8/31/30,West,CUST1103,80,73,Yes
9/30/30,West,CUST1104,79,306,No
