application_id,district,application_type,submission_date,completion_date,processing_days,approval_status,digital_access
APP000001,District_1,SNAP,2024-12-23,2025-01-07,15,1,1
APP000002,District_1,Medicaid,2023-10-12,2023-10-19,7,1,1
APP000003,District_1,SNAP,2024-04-25,2024-05-12,17,1,1
APP000004,District_1,SNAP,2023-04-28,2023-05-16,18,1,1
APP000005,District_1,SNAP,2024-06-15,2024-06-17,2,0,1
APP000006,District_1,SNAP,2023-07-21,2023-07-27,6,1,1
APP000007,District_1,Medicaid,2024-02-22,2024-03-07,14,1,1
APP000008,District_1,SNAP,2024-10-04,2024-10-15,11,1,1
APP000009,District_1,TANF,2024-04-27,2024-05-10,13,1,1
APP000010,District_1,SNAP,2023-12-13,2023-12-21,8,0,1
APP000011,District_1,Medicaid,2023-05-19,2023-06-06,18,1,1
APP000012,District_1,TANF,2023-09-07,2023-09-24,17,1,1
APP000013,District_1,TANF,2024-09-11,2024-09-24,13,1,1
APP000014,District_1,SNAP,2023-06-07,2023-06-26,19,1,1
APP000015,District_1,Medicaid,2024-04-24,2024-05-10,16,1,1
APP000016,District_1,TANF,2023-12-21,2023-12-29,8,1,1
APP000017,District_1,SNAP,2023-08-23,2023-09-07,15,1,1
APP000018,District_1,Medicaid,2024-06-07,2024-06-15,8,0,1
APP000019,District_1,SNAP,2023-07-29,2023-08-16,18,1,1
APP000020,District_1,SNAP,2024-01-22,2024-02-04,13,1,1
APP000021,District_1,TANF,2024-07-07,2024-07-19,12,1,1
APP000022,District_1,SNAP,2024-09-22,2024-10-01,9,1,1
APP000023,District_1,TANF,2024-04-04,2024-04-24,20,1,1
APP000024,District_1,SNAP,2024-04-28,2024-05-10,12,1,1
APP000025,District_1,SNAP,2024-07-28,2024-08-08,11,1,1
APP000026,District_1,SNAP,2023-07-16,2023-07-27,11,1,1
APP000027,District_1,SNAP,2023-07-03,2023-07-19,16,0,1
APP000028,District_1,Medicaid,2023-12-20,2024-01-04,15,1,1
APP000029,District_1,TANF,2024-04-05,2024-04-20,15,1,1
APP000030,District_1,TANF,2024-04-16,2024-05-01,15,1,1
APP000031,District_1,SNAP,2023-04-23,2023-05-18,25,1,1
