Account_ID,Contract_Value_USD,Tenure_Months,Support_Tickets_12Mo,Satisfaction_Score,Churn_Status
A-0001,106091.11,51,3,7.1,Retained
A-0002,46231.59,55,4,7.2,Retained
A-0003,74657.49,44,8,4.7,Churned
A-0004,103202.64,65,4,6.7,Retained
A-0005,58540.18,25,4,6.6,Retained
A-0006,11975.37,47,3,8.1,Retained
A-0007,18196.15,56,3,7,Retained
A-0008,66143.2,38,3,7.2,Retained
A-0009,116638.33,11,2,7,Retained
A-0010,86253.05,67,2,6.2,Churned
A-0011,17800.78,15,1,7.4,Churned
A-0012,30829.7,1,3,6.7,Retained
A-0013,94845.55,7,4,6.1,Retained
A-0014,102558.37,1,1,9.4,Retained
A-0015,77946.4,49,6,5,Churned
A-0016,80886.55,29,2,8.2,Retained
A-0017,13117.12,26,4,5.8,Churned
A-0018,101138.33,45,4,5.9,Retained
A-0019,96710.27,71,6,3.8,Churned
A-0020,38493.87,12,3,6.1,Retained
A-0021,87954.44,32,3,7.1,Retained
A-0022,33634.01,20,2,7.3,Retained
A-0023,14436.32,51,7,5.1,Churned
A-0024,32125.02,36,2,7.4,Retained
A-0025,29649.18,67,4,5.8,Retained
A-0026,47152.28,1,5,7.2,Retained
A-0027,56029.44,27,2,7.2,Retained
A-0028,65939.28,40,5,6.4,Retained
A-0029,62442.93,14,5,5.2,Churned
A-0030,39774.21,69,3,7.3,Retained
A-0031,13208.77,6,4,6.8,Retained
A-0032,76561.18,33,4,6.3,Churned
A-0033,53531.93,55,2,5.4,Churned
A-0034,42853.94,19,3,6.7,Churned
A-0035,105363.51,29,3,7.7,Retained
A-0036,92141.76,61,3,7.1,Retained
A-0037,104354.21,70,6,5.3,Churned
A-0038,64448.11,24,1,6.5,Retained
A-0039,24402.44,23,2,6.7,Churned
A-0040,86584.36,10,3,7,Retained
A-0041,32668.12,54,1,8.2,Retained
A-0042,58535.26,41,6,5.9,Churned
A-0043,17150.09,49,4,6,Churned
A-0044,100783.92,17,3,7,Retained
A-0045,23853.47,56,9,3.1,Churned
A-0046,109340.73,45,5,4.7,Churned
A-0047,105065.37,30,6,3.1,Churned
A-0048,61104.1,44,5,5.8,Retained
A-0049,91880.5,55,3,6.8,Retained
A-0050,78138.96,19,4,5.6,Churned
A-0051,98338.32,29,5,4.2,Churned
A-0052,57498.56,2,7,4.8,Churned
A-0053,96438.93,36,1,7.7,Churned
A-0054,60870.25,19,6,5.3,Churned
A-0055,113506.24,7,3,8.2,Retained
A-0056,63500.93,26,5,3.8,Churned
A-0057,60888.12,38,3,6.1,Churned
A-0058,96357.9,3,5,5.3,Churned
A-0059,100373.55,66,4,7.3,Retained
A-0060,70993.8,71,6,3.6,Churned
A-0061,29777.76,43,4,7.6,Retained
A-0062,61453.41,62,6,5,Churned
A-0063,116487.98,71,5,5.4,Churned
A-0064,92828.48,24,2,7.1,Retained
A-0065,99227.89,39,1,7.6,Retained
A-0066,13610.8,68,1,8.7,Retained
A-0067,61464.54,44,3,5.8,Retained
A-0068,81128.32,5,5,5.8,Churned
A-0069,101303.6,55,3,6.4,Churned
A-0070,15420.1,30,5,4.9,Churned
A-0071,103768.28,29,4,8.2,Retained
A-0072,70324.1,26,3,7,Retained
A-0073,31704.54,26,6,5.4,Churned
A-0074,44898.07,37,5,6.4,Retained
A-0075,41012.25,53,6,3.8,Churned
A-0076,68394.49,30,2,8.7,Retained
A-0077,15685.42,3,5,3.5,Churned
A-0078,27438.98,43,6,4.3,Churned
A-0079,99396.23,7,3,6.3,Retained
