Month,Revenue_USD,COGS_USD,Operating_Expenses_USD,Net_Margin_Pct
1,3814268.23,1449765.01,1277571.13,0.285
2,3825614.53,1510773.13,1264668.93,0.2745
3,3807224.22,1550586.64,1296214.03,0.2523
4,3858560.27,1352022.72,1406218.8,0.2852
5,3784768.78,1587482.62,1427881.85,0.2033
6,3791688.76,1375634.41,1288637.37,0.2973
7,3646332.01,1396244.08,1502649.12,0.205
8,3658899.24,1503961.56,1323821.27,0.2271
9,3795144.02,1388084.66,1568852.53,0.2209
10,3695555.51,1416786.05,1462689.08,0.2208
11,3614771.34,1298717.77,1374540.48,0.2605
12,3537970.11,1336133.31,1515964.8,0.1939
13,3528369.96,1278679.45,1527165.85,0.2048
14,3423327.06,1285301.64,1316192.64,0.2401
15,3437026.85,1292811.86,1335885.82,0.2352
16,3484774.05,1461939.22,1574382.06,0.1287
17,3507521.82,1471885.63,1265896.42,0.2195
18,3346048.59,1198002.64,1216860.17,0.2783
19,3405662,1365050,1381622.13,0.1935
20,3460651.4,1223763.1,1520483.96,0.207
21,3507064.31,1234884.48,1508667.24,0.2177
22,3516891.69,1256843.44,1567812.25,0.1968
23,3514506.83,1467601.81,1413280.27,0.1803
24,3577097.98,1487573.57,1240025.87,0.2375
