Campaign_ID,Month,Channel,Spend_USD,Leads_Generated,Conversion_Rate,Cost_Per_Lead_USD
C-001,1,Digital_Paid,52827.16,1136,0.1037,46.5
C-002,1,Email,7050.95,141,0.0712,49.67
C-003,2,Content_Marketing,9713.7,410,0.0335,23.67
C-004,2,Events,23115.16,706,0.0771,32.73
C-005,3,Social_Media,3971.4,89,0.0608,44.55
C-006,3,SEO,9926.06,424,0.0861,23.37
C-007,4,Digital_Paid,58273.41,1142,0.1082,51
C-008,4,Email,7014.7,192,0.0609,36.53
C-009,5,Content_Marketing,14790.95,464,0.049,31.84
C-010,5,Events,14264.23,458,0.0215,31.08
C-011,6,Social_Media,12455.17,449,0.0775,27.69
C-012,6,SEO,13084.8,368,0.0602,35.53
C-013,7,Digital_Paid,45647.26,822,0.0575,55.5
C-014,7,Email,7917.97,209,0.0383,37.87
C-015,8,Content_Marketing,8639.74,494,0.063,17.46
C-016,8,Events,27010.98,728,0.1184,37.09
C-017,9,Social_Media,6582.58,136,0.0498,48.36
C-018,9,SEO,14084.92,415,0.08,33.93
C-019,10,Digital_Paid,16842.82,280,0.0976,60
C-020,10,Email,7577.03,219,0.0949,34.49
C-021,11,Content_Marketing,10566.71,235,0.0529,44.92
C-022,11,Events,34194.88,719,0.0811,47.54
C-023,12,Social_Media,8248.17,384,0.1071,21.45
C-024,12,SEO,14191.69,468,0.0215,30.29
C-025,13,Digital_Paid,19703.75,305,0.0636,64.5
C-026,13,Email,3633.71,124,0.0424,29.18
C-027,14,Content_Marketing,10661.46,549,0.0589,19.39
C-028,14,Events,26916.01,619,0.0616,43.48
C-029,15,Social_Media,6523.59,401,0.0947,16.25
C-030,15,SEO,7795.18,232,0.0294,33.49
C-031,16,Digital_Paid,31009.83,449,0.0713,69
C-032,16,Email,2849.13,127,0.0764,22.26
C-033,17,Content_Marketing,11146.81,238,0.0694,46.7
C-034,17,Events,14004.07,315,0.0932,44.35
C-035,18,Social_Media,6163.27,195,0.0584,31.49
C-036,18,SEO,14455.68,491,0.1145,29.39
C-037,19,Digital_Paid,45844.82,623,0.0682,73.5
C-038,19,Email,7385.37,182,0.0771,40.55
C-039,20,Content_Marketing,5440.96,277,0.1026,19.61
C-040,20,Events,10412,268,0.0475,38.81
C-041,21,Social_Media,13269.87,298,0.0275,44.49
C-042,21,SEO,11171.01,485,0.0908,23
C-043,22,Digital_Paid,51357.21,658,0.0683,78
C-044,22,Email,6168.97,381,0.1097,16.17
C-045,23,Content_Marketing,12607.97,268,0.1183,46.95
C-046,23,Events,25581.93,1336,0.0599,19.14
C-047,24,Social_Media,11046.49,293,0.0615,37.6
C-048,24,SEO,6820.22,287,0.0608,23.75
