Deal_ID,Month,Region,Sales_Rep_ID,Deal_Size_USD,Sales_Cycle_Days,Monthly_Revenue_USD,Deal_Status
D-0001,1,West,REP-029,33854.81,46,34297.88,Won
D-0002,2,Central,REP-012,38628.5,55,35775.28,Won
D-0003,3,Central,REP-007,41541.02,40,43413.59,Won
D-0004,4,West,REP-029,26212.43,55,28067.3,Pending
D-0005,5,East,REP-011,30907.62,61,28738.42,Lost
D-0006,6,East,REP-001,34255.1,43,33442.29,Lost
D-0007,7,East,REP-006,37295.2,60,38096.66,Lost
D-0008,8,Central,REP-015,34508.08,36,29652.65,Won
D-0009,9,West,REP-015,34730.6,54,35476.64,Pending
D-0010,10,Central,REP-019,44794.92,41,38384.69,Won
D-0011,11,East,REP-011,28137.71,60,29729.51,Won
D-0012,12,Central,REP-026,39497.43,60,37778.64,Lost
D-0013,13,Central,REP-023,31690.11,70,27137.69,Won
D-0014,14,East,REP-026,35807.37,66,33730.64,Lost
D-0015,15,East,REP-002,43324.73,54,40995.27,Won
D-0016,16,East,REP-014,35743.39,47,39562.65,Lost
D-0017,17,East,REP-002,33782.48,61,34367.94,Won
D-0018,18,West,REP-029,39535.61,57,35754.91,Won
D-0019,19,West,REP-004,36783.99,70,42849.92,Lost
D-0020,20,East,REP-017,26783.03,41,28460.96,Won
D-0021,21,West,REP-003,31872.62,77,30800.68,Won
D-0022,22,East,REP-013,21432.52,65,18102.26,Won
D-0023,23,East,REP-009,26939.23,54,25795.41,Lost
D-0024,24,West,REP-007,30830.26,68,30150.42,Lost
D-0025,1,West,REP-015,34989.47,55,36280.7,Won
D-0026,2,Central,REP-023,38986.83,46,41354.33,Pending
D-0027,3,East,REP-029,37173.08,32,40171.39,Pending
D-0028,4,West,REP-029,39542.08,44,33170.01,Lost
D-0029,5,West,REP-011,34359,56,35075.41,Lost
D-0030,6,East,REP-020,31399.26,52,30898.07,Won
D-0031,7,West,REP-002,43110.63,48,54655.56,Lost
D-0032,8,East,REP-015,32861.52,60,33074.11,Won
D-0033,9,East,REP-014,38260.05,56,35877.78,Won
D-0034,10,Central,REP-020,41756.24,58,42217.09,Pending
D-0035,11,Central,REP-022,35013.35,49,34983.35,Lost
D-0036,12,Central,REP-011,29538.47,49,23663.15,Won
D-0037,13,East,REP-027,32546.95,40,33875.86,Won
D-0038,14,East,REP-003,38147.7,52,36963,Lost
D-0039,15,West,REP-017,33711.24,62,33621.26,Won
D-0040,16,West,REP-030,26274.29,54,23979.05,Won
D-0041,17,East,REP-012,34903.22,60,31085.11,Won
D-0042,18,West,REP-024,35387.66,66,38497.82,Won
D-0043,19,East,REP-028,29383.44,61,32640.47,Lost
D-0044,20,Central,REP-029,33831.22,63,35245.7,Won
D-0045,21,East,REP-021,31625.09,49,25898.43,Lost
D-0046,22,West,REP-015,29032.85,58,30435.32,Won
D-0047,23,East,REP-016,23172.32,75,19010.72,Lost
D-0048,24,West,REP-005,34649.77,63,32358.81,Pending
D-0049,1,West,REP-027,41796.05,60,45413.75,Lost
D-0050,2,East,REP-020,40539.43,39,43205.3,Pending
D-0051,3,Central,REP-006,44962.63,48,47017.28,Pending
D-0052,4,Central,REP-019,41585.97,44,47045.8,Won
D-0053,5,Central,REP-025,39912.83,52,42148.01,Lost
D-0054,6,Central,REP-005,25033.86,55,19979.48,Pending
D-0055,7,West,REP-003,41704.47,54,40163.37,Won
D-0056,8,Central,REP-027,35755.4,58,35606.63,Won
D-0057,9,East,REP-001,36522.46,50,35942.69,Pending
D-0058,10,East,REP-026,36176.67,50,33944.08,Lost
D-0059,11,East,REP-028,38069.16,38,34147.45,Won
D-0060,12,East,REP-006,39430.88,58,48897.22,Won
D-0061,13,West,REP-015,36611.21,55,35187.96,Lost
D-0062,14,East,REP-002,35436.43,54,43769.67,Won
D-0063,15,Central,REP-029,33837.56,53,29975.72,Lost
D-0064,16,West,REP-003,15541.95,55,16563.15,Lost
D-0065,17,East,REP-017,30482.04,55,31182.04,Lost
D-0066,18,West,REP-025,26832.05,53,24358.27,Won
D-0067,19,East,REP-024,37213.7,60,35473.74,Lost
D-0068,20,Central,REP-012,33875.19,63,33823.93,Lost
D-0069,21,East,REP-018,28109.32,53,25736.56,Lost
D-0070,22,Central,REP-015,28231.41,57,27508.29,Won
D-0071,23,Central,REP-012,27670.09,59,21126.39,Won
D-0072,24,East,REP-016,27200.87,62,29136.25,Pending
D-0073,1,East,REP-027,30777.21,43,34554.04,Won
D-0074,2,Central,REP-008,29313.6,51,30645.51,Won
D-0075,3,Central,REP-028,37385.23,33,45850.22,Won
D-0076,4,Central,REP-014,42236.57,35,45117.51,Lost
D-0077,5,Central,REP-025,33791.55,49,37653.28,Won
D-0078,6,East,REP-017,37617.22,43,42275.6,Won
D-0079,7,West,REP-029,39391.3,56,28554.7,Won
D-0080,8,East,REP-021,30373.11,59,31659.94,Lost
D-0081,9,Central,REP-008,34860.12,52,30039.19,Won
D-0082,10,West,REP-015,31247.4,43,27557.38,Won
D-0083,11,East,REP-027,42230.6,60,37978.09,Won
D-0084,12,East,REP-014,41632.3,54,40330.39,Pending
D-0085,13,East,REP-018,28478.29,42,30330.68,Won
D-0086,14,East,REP-020,34989.42,43,36507.93,Won
D-0087,15,Central,REP-007,38018,67,37970.16,Won
D-0088,16,West,REP-003,36541.65,67,39182.45,Pending
D-0089,17,Central,REP-029,32327.82,36,34860.66,Lost
D-0090,18,West,REP-012,38072.79,46,39757.98,Pending
D-0091,19,East,REP-021,26637.43,67,22043.79,Lost
D-0092,20,Central,REP-024,29264.54,59,27100.91,Won
D-0093,21,Central,REP-028,26011.79,65,26080.27,Lost
D-0094,22,West,REP-026,33932.47,60,36421.25,Won
D-0095,23,Central,REP-003,26726.82,66,23175.95,Lost
D-0096,24,West,REP-020,28403.75,62,28371.53,Won
D-0097,1,West,REP-014,41088.35,41,34655.46,Won
D-0098,2,West,REP-015,41111.25,54,45328.93,Pending
D-0099,3,East,REP-025,32704.37,48,33496.95,Won
D-0100,4,East,REP-030,42143.28,52,36470.22,Pending
D-0101,5,East,REP-014,38758.45,49,33515.48,Won
D-0102,6,West,REP-007,30691.49,44,31880.57,Won
