response_id,district,digital_access,satisfaction_score,ease_of_access_rating,language_barrier,digital_literacy_rating
SUR00001,District_1,1,72,8.1,0,6.2
SUR00002,District_1,1,80,9.2,0,5.5
SUR00003,District_1,1,100,5.8,0,2.1
SUR00004,District_1,1,87,4.0,0,6.0
SUR00005,District_1,1,72,8.2,0,6.4
SUR00006,District_1,1,63,9.5,0,7.7
SUR00007,District_1,1,55,5.8,0,8.5
SUR00008,District_1,1,56,7.3,0,7.7
SUR00009,District_1,1,56,7.0,1,1.7
SUR00010,District_1,1,56,9.6,0,5.2
SUR00011,District_1,1,81,8.2,0,5.6
SUR00012,District_1,1,88,7.4,1,4.5
SUR00013,District_1,1,70,8.9,0,9.3
SUR00014,District_1,1,77,7.8,0,5.7
SUR00015,District_1,1,85,6.7,0,4.7
SUR00016,District_1,1,83,9.0,0,7.4
SUR00017,District_1,1,81,5.7,0,3.7
SUR00018,District_1,1,89,7.3,0,4.7
SUR00019,District_1,1,83,7.2,0,7.2
SUR00020,District_1,1,65,10.0,0,4.8
SUR00021,District_1,1,79,5.7,0,9.5
SUR00022,District_1,1,98,6.3,0,7.6
SUR00023,District_1,1,73,8.6,0,6.7
SUR00024,District_1,1,85,6.6,0,7.0
SUR00025,District_1,1,99,8.0,0,4.0
SUR00026,District_1,1,70,7.2,1,6.4
SUR00027,District_1,1,60,6.7,0,4.3
SUR00028,District_1,1,76,7.7,0,8.7
SUR00029,District_1,1,69,8.3,0,10.0
SUR00030,District_1,1,77,6.5,0,4.2
SUR00031,District_1,1,61,6.1,0,5.6
SUR00032,District_1,1,62,7.2,0,6.8
SUR00033,District_1,1,74,6.9,0,8.7
SUR00034,District_1,1,70,8.3,0,10.0
SUR00035,District_1,1,95,7.7,0,6.5
SUR00036,District_1,1,68,8.0,0,9.1
SUR00037,District_1,1,71,7.5,0,6.7
SUR00038,District_1,1,82,6.9,0,5.8
SUR00039,District_1,1,100,9.4,0,3.8
SUR00040,District_1,1,73,7.9,1,5.3
SUR00041,District_1,1,88,5.7,0,6.5
SUR00042,District_1,1,71,8.1,0,5.7
SUR00043,District_1,1,60,5.9,0,10.0
SUR00044,District_1,1,66,8.1,0,7.0
SUR00045,District_1,1,72,9.2,0,6.1
SUR00046,District_1,1,97,7.8,0,3.8
SUR00047,District_1,1,86,10.0,0,5.8
SUR00048,District_1,1,85,5.9,0,5.5
SUR00049,District_1,1,71,8.6,1,6.3
SUR00050,District_1,1,69,7.2,0,9.9
SUR00051,District_1,1,65,6.3,0,7.7
