Sim_ID,Participants,Social_Benefit_Value,Program_Cost,Admin_Overhead,Net_Social_Impact
1.10025000150003E+021
2,85,21250,15000,2500,3750
3,60,15000,15000,1500,-1500
4.12030000150004E+022
5,50,12500,15000,1000,-3500
6,95,23750,15000,2800,5950
7,75,18750,15000,1800,1950
8,55,13750,15000,1200,-2450
9.11027500150004E+021
1.01052625015E+022
11,80,20000,15000,2000,3000
12,45,11250,15000,800,-4550
13,90,22500,15000,2700,4800
14,88,22000,15000,2600,4400
15,65,16250,15000,1600,-350
1.61152875015E+022
1.71022550015E+022
18,70,17500,15000,1700,800
19,52,13000,15000,1100,-3100
2.01303250015E+023
