Month,Unit,Nurse_to_Patient_Ratio,Day_Shift_Nurses,Night_Shift_Nurses,Weekend_Coverage_Pct
1,Cardiology,0.209,12,10,0.66
1,Pulmonology,0.235,8,12,0.85
1,General_Medicine,0.188,19,6,0.77
1,Orthopedics,0.192,17,11,0.86
2,Cardiology,0.16,9,5,0.8
2,Pulmonology,0.186,8,9,0.71
2,General_Medicine,0.245,13,10,0.83
2,Orthopedics,0.162,14,9,0.71
3,Cardiology,0.219,10,12,0.85
3,Pulmonology,0.178,14,13,0.94
3,General_Medicine,0.19,17,13,0.65
3,Orthopedics,0.173,8,6,0.67
4,Cardiology,0.235,13,13,0.89
4,Pulmonology,0.194,16,10,0.63
4,General_Medicine,0.179,16,12,0.72
4,Orthopedics,0.221,19,9,0.85
5,Cardiology,0.257,10,6,0.71
5,Pulmonology,0.171,9,12,0.88
5,General_Medicine,0.229,9,5,0.85
5,Orthopedics,0.173,17,5,0.91
6,Cardiology,0.217,13,6,0.78
6,Pulmonology,0.258,10,11,0.73
6,General_Medicine,0.261,15,12,0.94
6,Orthopedics,0.168,15,9,0.66
7,Cardiology,0.185,10,9,0.94
7,Pulmonology,0.185,15,7,0.88
7,General_Medicine,0.222,19,10,0.62
7,Orthopedics,0.174,8,7,0.94
8,Cardiology,0.267,17,8,0.8
8,Pulmonology,0.241,18,11,0.91
8,General_Medicine,0.233,16,7,0.7
8,Orthopedics,0.236,14,7,0.69
9,Cardiology,0.189,16,13,0.91
9,Pulmonology,0.204,13,8,0.93
9,General_Medicine,0.24,18,11,0.81
9,Orthopedics,0.171,15,7,0.75
10,Cardiology,0.224,13,13,0.83
10,Pulmonology,0.247,10,10,0.64
10,General_Medicine,0.242,12,11,0.86
10,Orthopedics,0.208,9,13,0.72
11,Cardiology,0.216,11,11,0.89
11,Pulmonology,0.207,17,9,0.7
11,General_Medicine,0.281,12,10,0.86
11,Orthopedics,0.191,13,7,0.84
12,Cardiology,0.173,11,6,0.91
12,Pulmonology,0.188,8,13,0.79
12,General_Medicine,0.168,9,6,0.76
12,Orthopedics,0.173,9,12,0.65
13,Cardiology,0.203,19,7,0.62
13,Pulmonology,0.158,12,11,0.68
13,General_Medicine,0.235,9,5,0.88
13,Orthopedics,0.205,11,8,0.91
14,Cardiology,0.26,18,6,0.83
14,Pulmonology,0.167,18,9,0.7
14,General_Medicine,0.175,19,6,0.89
14,Orthopedics,0.22,15,6,0.91
15,Cardiology,0.17,14,11,0.79
15,Pulmonology,0.159,16,6,0.88
15,General_Medicine,0.169,16,7,0.81
15,Orthopedics,0.221,10,9,0.88
16,Cardiology,0.239,19,5,0.75
16,Pulmonology,0.241,17,10,0.64
16,General_Medicine,0.208,15,8,0.73
16,Orthopedics,0.231,12,7,0.9
17,Cardiology,0.284,10,10,0.65
17,Pulmonology,0.225,9,9,0.78
17,General_Medicine,0.264,14,8,0.86
17,Orthopedics,0.28,18,12,0.73
18,Cardiology,0.232,11,12,0.61
18,Pulmonology,0.165,15,7,0.75
18,General_Medicine,0.19,14,10,0.69
18,Orthopedics,0.18,13,13,0.61
