Simulation_ID,Staffing_Model,Patient_Volume,Base_Staffing_Cost,Overtime_Cost,Supply_Cost,Total_Operating_Cost,Reimbursements,Net_Margin,Margin_Percent,Patient_Satisfaction,Staff_Burnout_Index
201,Staffing_Model_B,96,49738.32,5987.42,8627.95,64353.69,86251.15,21897.46,25.39,88.2,5.1
220,Staffing_Model_B,70,52202.71,1930.13,7969.73,62102.57,70332.06,8229.49,11.7,76.9,4.5
125,Staffing_Model_A,106,34559.59,19562.42,6561.99,60684,57475.49,-3208.51,-5.58,65.1,9.3
53,Staffing_Model_A,63,42580.78,7040.62,7969.84,57591.24,79592.69,22001.45,27.64,94.1,8
35,Staffing_Model_A,109,45317.26,6144.74,10733.83,62195.83,61864.69,-331.14,-0.54,60.8,6.7
177,Staffing_Model_B,88,51119.44,1689.95,9926.09,62735.48,104249.15,41513.67,39.82,79.8,5.4
9,Staffing_Model_A,79,39801.48,17626.58,5365.32,62793.39,50713.68,-12079.7,-23.82,49.5,6.7
4,Staffing_Model_A,95,40783.35,0,9227.42,50010.77,69363.74,19352.96,27.9,59.5,6.7
241,Staffing_Model_B,95,50760.43,2836.14,8940.35,62536.92,77112.5,14575.58,18.9,93.7,4.2
193,Staffing_Model_B,90,55313.48,3440.24,9305.11,68058.83,91374.55,23315.71,25.52,97.5,2.3
117,Staffing_Model_A,113,41816.28,8733.16,9376.48,59925.92,96685.52,36759.6,38.02,67.2,8.2
20,Staffing_Model_A,106,45759.44,5403.41,9685,60847.85,75490.29,14642.44,19.4,74.6,6.9
234,Staffing_Model_B,109,52744.05,7060.33,7301.1,67105.48,61256.52,-5848.97,-9.55,81.7,5.4
189,Staffing_Model_B,72,55936.46,2742.79,9731.8,68411.06,68520.01,108.96,0.16,94.5,4.5
209,Staffing_Model_B,86,56568.39,2527.61,8843.67,67939.67,91730.01,23790.34,25.94,85.4,4.8
212,Staffing_Model_B,107,50914.01,4594.57,9016.37,64524.94,80317.95,15793,19.66,91.5,5.8
296,Staffing_Model_B,99,50194.13,4036.33,7843.28,62073.75,79038.84,16965.09,21.46,83.7,1.6
2,Staffing_Model_A,76,36961.85,16822.15,6965.96,60749.96,68262.19,7512.23,11,91,7.1
56,Staffing_Model_A,84,36884.49,17532.26,8372.33,62789.08,98591.69,35802.61,36.31,60.5,6.7
75,Staffing_Model_A,101,35453.33,7774.08,7408.16,50635.57,75401.1,24765.53,32.85,60.7,7.1
232,Staffing_Model_B,97,55369.79,1941.61,8801.07,66112.46,70352.47,4240.01,6.03,82.1,3.5
131,Staffing_Model_A,66,48861.83,6587.26,4838.5,60287.58,71140,10852.41,15.26,64.1,7.6
95,Staffing_Model_A,87,42560.13,6692.68,5144.1,54396.91,84498.67,30101.76,35.62,58,4.4
152,Staffing_Model_B,80,53301.37,969.16,8816.3,63086.84,85910.13,22823.3,26.57,81.4,5
199,Staffing_Model_B,110,53048.32,6451.28,5890.23,65389.83,87956.91,22567.07,25.66,93.3,4.5
13,Staffing_Model_A,65,45226.39,5461.03,8164.07,58851.49,56435.6,-2415.89,-4.28,100,5.7
204,Staffing_Model_B,98,49089.97,366.82,8474.36,57931.14,79887.3,21956.16,27.48,73,3.9
150,Staffing_Model_A,67,41021.1,26243.82,6581.89,73846.81,74344.07,497.26,0.67,56.5,9.6
253,Staffing_Model_B,75,46248.55,5346.99,6940.83,58536.37,86739.84,28203.47,32.52,98.3,3.6
163,Staffing_Model_B,89,56223.69,4005.67,12413.22,72642.58,78734.86,6092.28,7.74,95.5,3.7
170,Staffing_Model_B,105,52633.05,3720.84,8403.84,64757.72,82676.88,17919.16,21.67,87.5,5.2
100,Staffing_Model_A,92,38415.83,5850.05,8539.46,52805.34,75513.18,22707.84,30.07,60.1,8.7
18,Staffing_Model_A,102,41625.54,7885.85,8558.78,58070.18,76873.13,18802.95,24.46,55.3,7.4
276,Staffing_Model_B,109,48089.06,6667.87,8183.13,62940.07,81129.13,18189.06,22.42,84.9,3.8
229,Staffing_Model_B,88,56390.7,3061.54,10559.05,70011.28,72730.94,2719.65,3.74,82,2.2
171,Staffing_Model_B,69,49922.2,7974.32,9537.31,67433.83,84654.65,17220.82,20.34,96.8,3.8
184,Staffing_Model_B,61,47359.23,5711.98,7744.2,60815.42,88187.46,27372.04,31.04,95.5,4.6
266,Staffing_Model_B,110,54105.44,3994.03,11294.06,69393.53,99020.75,29627.22,29.92,94.2,6.1
113,Staffing_Model_A,124,43942.78,9957.94,8174.47,62075.19,77376.18,15300.99,19.77,68.1,4.4
202,Staffing_Model_B,75,52677.29,2813.79,7812.81,63303.9,79927.52,16623.63,20.8,79.5,3.6
40,Staffing_Model_A,63,33238.03,5100.26,5667.09,44005.38,66059.09,22053.7,33.38,77.1,8.1
89,Staffing_Model_A,95,33966.58,0,7640.73,41607.31,64589.73,22982.42,35.58,87.2,9.5
227,Staffing_Model_B,74,55691.24,5094.93,4460.25,65246.42,64020.72,-1225.7,-1.91,83.7,6
297,Staffing_Model_B,109,53344.82,1549.4,7982.3,62876.51,79288.98,16412.47,20.7,95.3,6.1
162,Staffing_Model_B,63,48102.59,3965.96,9850.75,61919.3,82985.42,21066.13,25.39,89.3,3.1
24,Staffing_Model_A,78,44049.3,14078.16,6180.6,64308.06,87075.06,22767,26.15,63.5,7.5
82,Staffing_Model_A,100,37797.77,13271.01,9696.26,60765.04,70202.39,9437.35,13.44,76.2,7
65,Staffing_Model_A,67,40023.08,16896.1,6018,62937.18,78909.3,15972.11,20.24,77.6,8.7
17,Staffing_Model_A,119,44486.79,6737.73,12421.26,63645.77,85010.57,21364.79,25.13,65.7,8
258,Staffing_Model_B,70,49509.1,3984.24,10307.05,63800.39,61855.03,-1945.37,-3.15,93.7,3.9
